frame,hip_x,hip_y,hip_z,knee_x,knee_y,knee_z,ankle_x,ankle_y,ankle_z
0,0.611943781375885,0.36049965023994446,0.20810797810554504,0.5820635557174683,0.5182240009307861,0.2286711484193802,0.676418125629425,0.653031587600708,0.3785102963447571
1,0.5891838669776917,0.36050307750701904,0.2043820023536682,0.5304486751556396,0.5168089270591736,0.18847939372062683,0.6247279644012451,0.6653364300727844,0.3700394332408905
2,0.5733925700187683,0.35813039541244507,0.20445694029331207,0.49824923276901245,0.504490852355957,0.11504006385803223,0.5485109090805054,0.6661773324012756,0.25423502922058105
3,0.558538019657135,0.3564029335975647,0.20597028732299805,0.48697778582572937,0.5035890936851501,0.15240252017974854,0.4705485999584198,0.6658613681793213,0.26036983728408813
4,0.5517909526824951,0.3562859892845154,0.21884141862392426,0.4753261208534241,0.5059492588043213,0.24298718571662903,0.3975277245044708,0.667498767375946,0.31621038913726807
5,0.5452320575714111,0.3571542203426361,0.2342018485069275,0.46461278200149536,0.5134432315826416,0.27312901616096497,0.35524889826774597,0.6667212843894958,0.3501303791999817
6,0.5161879062652588,0.35951533913612366,0.23994742333889008,0.4282943308353424,0.5194537043571472,0.278152197599411,0.32093989849090576,0.6700820922851562,0.3522157371044159
7,0.48610052466392517,0.3628668785095215,0.24428047239780426,0.398914635181427,0.5231901407241821,0.3117527961730957,0.3154624104499817,0.6750684976577759,0.4167342782020569
8,0.45793336629867554,0.36559179425239563,0.24796587228775024,0.36421120166778564,0.523549497127533,0.32025250792503357,0.299854576587677,0.678002655506134,0.4434443712234497
9,0.42349985241889954,0.37193694710731506,0.25048136711120605,0.3439706861972809,0.5279529690742493,0.3312382102012634,0.287578284740448,0.6827855706214905,0.4737469255924225
10,0.40735897421836853,0.37317490577697754,0.2534758150577545,0.33159297704696655,0.5296861529350281,0.34111982583999634,0.29511919617652893,0.6831685304641724,0.4876475930213928
11,0.38228416442871094,0.37214305996894836,0.2507745325565338,0.32814016938209534,0.5288779735565186,0.3202130198478699,0.29821473360061646,0.6821303963661194,0.4604223370552063
12,0.3559354245662689,0.3714551627635956,0.2499781996011734,0.31921491026878357,0.5281084775924683,0.310739129781723,0.29114341735839844,0.6842349767684937,0.4459215998649597
13,0.34239476919174194,0.3711443841457367,0.2538549304008484,0.2982449531555176,0.5276145339012146,0.31168943643569946,0.29156503081321716,0.6829919219017029,0.4490050971508026
14,0.32951977849006653,0.37480536103248596,0.2584865391254425,0.27511778473854065,0.5273424386978149,0.30891090631484985,0.28714585304260254,0.6866130232810974,0.4525526762008667
15,0.32787105441093445,0.37469643354415894,0.2594251334667206,0.2746589183807373,0.5271257758140564,0.30675360560417175,0.284318745136261,0.6861159801483154,0.44951754808425903
16,0.3136427104473114,0.37488630414009094,0.2529849708080292,0.27859243750572205,0.5275053977966309,0.2839645743370056,0.2905026376247406,0.6856611967086792,0.3999800384044647
17,0.28522437810897827,0.37485095858573914,0.23742714524269104,0.2653080224990845,0.527401864528656,0.2859918475151062,0.2876342535018921,0.6744440793991089,0.4118694067001343
