frame,hip_x,hip_y,hip_z,knee_x,knee_y,knee_z,ankle_x,ankle_y,ankle_z,knee_angle_raw,knee_angle_smoothed
0,0.611943781375885,0.3604996502399444,0.208107978105545,0.5820635557174683,0.5182240009307861,0.2286711484193802,0.676418125629425,0.653031587600708,0.3785102963447571,126.69863438268722,116.12288813657784
1,0.5891838669776917,0.360503077507019,0.2043820023536682,0.5304486751556396,0.5168089270591736,0.1884793937206268,0.6247279644012451,0.6653364300727844,0.3700394332408905,110.41425913459382,115.59015156169791
2,0.5733925700187683,0.358130395412445,0.204456940293312,0.4982492327690124,0.504490852355957,0.1150400638580322,0.5485109090805054,0.6661773324012756,0.254235029220581,100.4456134452057,121.33057706344042
3,0.558538019657135,0.3564029335975647,0.205970287322998,0.4869777858257293,0.5035890936851501,0.1524025201797485,0.4705485999584198,0.6658613681793213,0.2603698372840881,124.90989715128981,131.3360281194547
4,0.5517909526824951,0.3562859892845154,0.2188414186239242,0.4753261208534241,0.5059492588043213,0.242987185716629,0.3975277245044708,0.667498767375946,0.316210389137268,165.9022626185419,143.5983682073901
5,0.5452320575714111,0.3571542203426361,0.2342018485069275,0.4646127820014953,0.5134432315826416,0.2731290161609649,0.3552488982677459,0.6667212843894958,0.3501303791999817,167.48461788751854,156.10946080489646
6,0.5161879062652588,0.3595153391361236,0.23994742333889,0.4282943308353424,0.5194537043571472,0.278152197599411,0.3209398984909057,0.6700820922851562,0.3522157371044159,168.1344512944917,166.10688680502872
7,0.4861005246639251,0.3628668785095215,0.2442804723978042,0.398914635181427,0.5231901407241821,0.3117527961730957,0.3154624104499817,0.6750684976577759,0.4167342782020569,169.08073162104256,170.78725631679876
8,0.4579333662986755,0.3655917942523956,0.2479658722877502,0.3642112016677856,0.523549497127533,0.3202525079250335,0.299854576587677,0.678002655506134,0.4434443712234497,163.54936540600346,168.72793646455216
9,0.4234998524188995,0.371936947107315,0.250481367111206,0.3439706861972809,0.5279529690742493,0.3312382102012634,0.287578284740448,0.6827855706214905,0.4737469255924225,162.87746495515765,164.3020485418289
10,0.4073589742183685,0.3731749057769775,0.2534758150577545,0.3315929770469665,0.5296861529350281,0.3411198258399963,0.2951191961765289,0.6831685304641724,0.4876475930213928,160.9406502544092,162.04366681830746
11,0.3822841644287109,0.3721430599689483,0.2507745325565338,0.3281401693820953,0.5288779735565186,0.3202130198478699,0.2982147336006164,0.6821303963661194,0.4604223370552063,159.6658443166732,159.0281229009711
12,0.3559354245662689,0.3714551627635956,0.2499781996011734,0.3192149102687835,0.5281084775924683,0.310739129781723,0.2911434173583984,0.6842349767684937,0.4459215998649597,160.086228581852,155.98544856256544
13,0.3423947691917419,0.3711443841457367,0.2538549304008484,0.2982449531555176,0.5276145339012146,0.3116894364356994,0.2915650308132171,0.6829919219017029,0.4490050971508026,155.38999326272653,153.72451406641926
14,0.3295197784900665,0.3748053610324859,0.2584865391254425,0.2751177847385406,0.5273424386978149,0.3089109063148498,0.2871458530426025,0.6866130232810974,0.4525526762008667,147.95251589959685,151.0773554342966
15,0.3278710544109344,0.3746964335441589,0.2594251334667206,0.2746589183807373,0.5271257758140564,0.3067536056041717,0.284318745136261,0.6861159801483154,0.449517548084259,147.8757535351803,150.29336584016988
16,0.3136427104473114,0.3748863041400909,0.2529849708080292,0.278592437505722,0.5275053977966309,0.2839645743370056,0.2905026376247406,0.6856611967086792,0.3999800384044647,150.5488543388375,151.84128984882202
17,0.2852243781089782,0.3748509585857391,0.237427145242691,0.2653080224990845,0.527401864528656,0.2859918475151062,0.2876342535018921,0.6744440793991089,0.4118694067001343,153.37097179614824,154.74114573169607
18,0.2590005695819855,0.3745908737182617,0.2348302155733108,0.2452940493822097,0.5248062014579773,0.2879259288311004,0.2625191211700439,0.6747640371322632,0.4163372218608856,156.70873978769575,158.69931492578831
19,0.2408840209245681,0.3768419027328491,0.2394475936889648,0.2470732033252716,0.5248111486434937,0.355676531791687,0.2618401646614074,0.6785345077514648,0.5420640110969543,167.57243242389478,162.97919599712884
20,0.2226468175649643,0.3792256116867065,0.2530141770839691,0.2401692867279052,0.5250260233879089,0.4028136134147644,0.2686682343482971,0.6808570027351379,0.6236212849617004,170.94359716821268,167.5536358170217
21,0.2001561820507049,0.3810824453830719,0.253107875585556,0.2400297820568084,0.5335944890975952,0.3837579786777496,0.2731314301490783,0.6867504119873047,0.585200309753418,167.41475077301502,168.71561769042873
22,0.1742056757211685,0.3843138515949249,0.2525999546051025,0.2314966917037964,0.5370766520500183,0.3799340426921844,0.2745369970798492,0.6875336170196533,0.5695162415504456,167.088754197871,170.1591408952994
23,0.1460371017456054,0.3876101970672607,0.2538805902004242,0.2071885615587234,0.5361865758895874,0.3771887421607971,0.2737669348716736,0.6870758533477783,0.5566046833992004,170.03918637199013,169.28160174713193
24,0.1266710311174392,0.3883159458637237,0.2586609125137329,0.1899951845407486,0.5298422574996948,0.4536939561367035,0.2611363232135772,0.6749130487442017,0.7361052632331848,171.21892297003697,166.40744590922012
25,0.0773449689149856,0.3881136178970337,0.2694213688373565,0.0817053914070129,0.5189657211303711,0.4638347029685974,0.2187376767396927,0.6521971225738525,0.7520239353179932,156.02363010902238,164.30915346989934
26,0.0508149787783622,0.3874445557594299,0.2699216902256012,0.0996313393115997,0.5186321139335632,0.4622391164302826,0.2311654239892959,0.6584743857383728,0.753608763217926,166.79005176556444,160.6692622290994
27,0.0200492050498724,0.383247047662735,0.2706741392612457,0.0556712187826633,0.5142539143562317,0.3632672429084778,0.2302787452936172,0.6611040234565735,0.5867512226104736,151.56481055592496,154.2295092734534
