frame,hip_x,hip_y,hip_z,knee_x,knee_y,knee_z,ankle_x,ankle_y,ankle_z
12,0.9198410511016846,0.37668463587760925,0.20343001186847687,0.8835858106613159,0.5154280662536621,0.18197886645793915,0.8727259039878845,0.6736240983009338,0.2998697757720947
13,0.9049667716026306,0.37901440262794495,0.22525614500045776,0.8981412053108215,0.5168375372886658,0.2748793661594391,0.9094565510749817,0.6688076853752136,0.38372573256492615
14,0.8860346078872681,0.38023170828819275,0.2237553894519806,0.8968793749809265,0.5200574994087219,0.2617705464363098,0.9015876650810242,0.6742355823516846,0.37098512053489685
15,0.8576104640960693,0.3814629912376404,0.22271034121513367,0.8570646643638611,0.5323389768600464,0.245797798037529,0.8748545050621033,0.6875708103179932,0.38886624574661255
16,0.8458314538002014,0.3816012740135193,0.23565807938575745,0.8589465618133545,0.5304989814758301,0.30694493651390076,0.9285387992858887,0.6855995655059814,0.44462400674819946
17,0.8430435657501221,0.38065123558044434,0.2552744150161743,0.8722856640815735,0.5278857946395874,0.3318217396736145,0.9818812608718872,0.6691099405288696,0.487476110458374
18,0.8329097032546997,0.37996309995651245,0.26514190435409546,0.8727023601531982,0.527727484703064,0.400506854057312,0.9705771207809448,0.662318766117096,0.637273371219635
19,0.8091732263565063,0.3798332214355469,0.27149498462677,0.8540036082267761,0.5270035862922668,0.4214349389076233,0.951078474521637,0.6630954146385193,0.6829157471656799
20,0.7885178923606873,0.37221288681030273,0.2661151885986328,0.8017722368240356,0.5148234963417053,0.38858211040496826,0.8961025476455688,0.6628062725067139,0.564215898513794
21,0.7684656381607056,0.3725554943084717,0.2634561061859131,0.77252197265625,0.5154480934143066,0.35123246908187866,0.8435109257698059,0.6635064482688904,0.542362630367279
22,0.7401968836784363,0.37264880537986755,0.25922858715057373,0.7375768423080444,0.515697717666626,0.4131365120410919,0.8012658357620239,0.664107620716095,0.6507437825202942
23,0.7253496050834656,0.37153592705726624,0.2498876005411148,0.7159793972969055,0.5124836564064026,0.3783121705055237,0.7521390318870544,0.6644918918609619,0.5786656737327576
24,0.7187336683273315,0.3706267476081848,0.2492552101612091,0.6958557367324829,0.5113843083381653,0.4491731524467468,0.6998671293258667,0.6624426245689392,0.6740307211875916
25,0.7077056765556335,0.3674616515636444,0.2491273134946823,0.6802051067352295,0.5121309161186218,0.40791845321655273,0.6413975358009338,0.662747323513031,0.6078708171844482
26,0.7027557492256165,0.3671916425228119,0.24902191758155823,0.6627945899963379,0.5123738050460815,0.3998817503452301,0.6010131239891052,0.6626464128494263,0.5855172276496887
27,0.6888140439987183,0.3675563335418701,0.24942335486412048,0.641211748123169,0.515469491481781,0.40108874440193176,0.5607736706733704,0.6629458665847778,0.5798607468605042
28,0.6728335022926331,0.37723350524902344,0.2556845247745514,0.6214215755462646,0.5211420059204102,0.5129312872886658,0.5341266393661499,0.6631001830101013,0.7908709645271301
