frame,hip_x,hip_y,hip_z,knee_x,knee_y,knee_z,ankle_x,ankle_y,ankle_z,knee_angle_raw,knee_angle_smoothed
12,0.9198410511016846,0.3766846358776092,0.2034300118684768,0.8835858106613159,0.5154280662536621,0.1819788664579391,0.8727259039878845,0.6736240983009338,0.2998697757720947,133.75410220632895,141.662080905641
13,0.9049667716026306,0.3790144026279449,0.2252561450004577,0.8981412053108215,0.5168375372886658,0.2748793661594391,0.9094565510749816,0.6688076853752136,0.3837257325649261,163.04978554759802,149.71362402089042
14,0.8860346078872681,0.3802317082881927,0.2237553894519806,0.8968793749809265,0.5200574994087219,0.2617705464363098,0.9015876650810242,0.6742355823516846,0.3709851205348968,159.72280566913932,154.85012692438855
15,0.8576104640960693,0.3814629912376404,0.2227103412151336,0.8570646643638611,0.5323389768600464,0.245797798037529,0.8748545050621033,0.6875708103179932,0.3888662457466125,145.70471073252475,157.66392105523062
16,0.8458314538002014,0.3816012740135193,0.2356580793857574,0.8589465618133545,0.5304989814758301,0.3069449365139007,0.9285387992858888,0.6855995655059814,0.4446240067481994,159.0036867997627,158.7473378525118
17,0.8430435657501221,0.3806512355804443,0.2552744150161743,0.8722856640815735,0.5278857946395874,0.3318217396736145,0.9818812608718872,0.6691099405288696,0.487476110458374,154.04906362732768,158.69270875532766
18,0.8329097032546997,0.3799630999565124,0.2651419043540954,0.8727023601531982,0.527727484703064,0.400506854057312,0.9705771207809448,0.662318766117096,0.637273371219635,160.78410415520162,156.6501382404018
19,0.8091732263565063,0.3798332214355469,0.27149498462677,0.8540036082267761,0.5270035862922668,0.4214349389076233,0.951078474521637,0.6630954146385193,0.6829157471656799,162.5033824218372,157.64459986425283
20,0.7885178923606873,0.3722128868103027,0.2661151885986328,0.8017722368240356,0.5148234963417053,0.3885821104049682,0.8961025476455688,0.6628062725067139,0.564215898513794,159.63605091225867,160.07255301099866
21,0.7684656381607056,0.3725554943084717,0.2634561061859131,0.77252197265625,0.5154480934143066,0.3512324690818786,0.8435109257698059,0.6635064482688904,0.542362630367279,154.72230169195797,161.11362394683306
22,0.7401968836784363,0.3726488053798675,0.2592285871505737,0.7375768423080444,0.515697717666626,0.4131365120410919,0.8012658357620239,0.664107620716095,0.6507437825202942,162.67550749928944,164.14881954319813
23,0.7253496050834656,0.3715359270572662,0.2498876005411148,0.7159793972969055,0.5124836564064026,0.3783121705055237,0.7521390318870544,0.6644918918609619,0.5786656737327576,164.83345612276804,166.15515520304285
24,0.7187336683273315,0.3706267476081848,0.2492552101612091,0.6958557367324829,0.5113843083381653,0.4491731524467468,0.6998671293258667,0.6624426245689392,0.6740307211875916,173.6803325900977,168.89511192874633
25,0.7077056765556335,0.3674616515636444,0.2491273134946823,0.6802051067352295,0.5121309161186218,0.4079184532165527,0.6413975358009338,0.662747323513031,0.6078708171844482,174.49365045370894,171.92199424934756
26,0.7027557492256165,0.3671916425228119,0.2490219175815582,0.6627945899963379,0.5123738050460815,0.3998817503452301,0.6010131239891052,0.6626464128494263,0.5855172276496887,173.94832950755273,174.14342341972974
27,0.6888140439987183,0.3675563335418701,0.2494233548641204,0.641211748123169,0.515469491481781,0.4010887444019317,0.5607736706733704,0.6629458665847778,0.5798607468605042,172.06904890026522,174.2500711577668
28,0.6728335022926331,0.3772335052490234,0.2556845247745514,0.6214215755462646,0.5211420059204102,0.5129312872886658,0.5341266393661499,0.6631001830101013,0.7908709645271301,173.89011525455712,174.17651969835435
29,0.6506784558296204,0.3820551335811615,0.2593002319335937,0.6015894412994385,0.523144006729126,0.5357335209846497,0.5142590403556824,0.6648210883140564,0.833943784236908,173.9583734265531,173.48444022572238
30,0.6350576877593994,0.3850352168083191,0.2608995139598846,0.5877987742424011,0.5267071723937988,0.5338262319564819,0.500653088092804,0.6672739386558533,0.8230137228965759,173.40542957212912,173.60411464596683
31,0.6183785796165466,0.3854685425758362,0.2606991827487945,0.5739235877990723,0.5316295027732849,0.5013079643249512,0.4940803945064544,0.6706008911132812,0.7702324390411377,173.02962219515985,174.33841556127032
32,0.5995725393295288,0.3882623314857483,0.2598680853843689,0.5612709522247314,0.5335269570350647,0.4993761777877807,0.498763769865036,0.6717967391014099,0.7691501975059509,174.40852231172386,174.87054703264522
33,0.5867486596107483,0.3891869187355041,0.2594508230686188,0.5560662150382996,0.5334200263023376,0.4901610910892486,0.5003147721290588,0.6730821132659912,0.7487014532089233,174.389595257209,174.66955220259302
34,0.5726895928382874,0.3881625533103943,0.2589891850948334,0.5506461262702942,0.5327227711677551,0.4867978096008301,0.5012338757514954,0.673384428024292,0.7455413341522217,173.812865759928,172.94548432872773
35,0.5629963874816895,0.387887567281723,0.2573617398738861,0.5461573004722595,0.5319831967353821,0.4395789802074432,0.5012549161911011,0.6732398867607117,0.6401163339614868,173.02153769721824,169.17924479394978
36,0.5472337603569031,0.3875519037246704,0.2545458972454071,0.5417112708091736,0.5315293073654175,0.3811633288860321,0.4971885085105896,0.6738850474357605,0.5539481043815613,166.76234663195785,164.49731887515196
37,0.5429320931434631,0.3870477378368377,0.253780335187912,0.5490680932998657,0.5317142009735107,0.3592438101768493,0.4982686042785644,0.67410808801651,0.5169944167137146,160.62980385179915,159.5641016174202
38,0.5222232341766357,0.3855036795139313,0.2447196096181869,0.543323814868927,0.5316810011863708,0.301630824804306,0.5003973841667175,0.6744651198387146,0.4314520061016083,150.94984202481035,156.60914958821772
39,0.5148841142654419,0.3819456696510315,0.2256467640399933,0.533107578754425,0.5283178687095642,0.2073991596698761,0.5019304156303406,0.6743949055671692,0.2573153674602508,148.24355966606274,154.4535338318512
40,0.4942582845687866,0.3794010579586029,0.2193465083837509,0.5152844190597534,0.5259024500846863,0.1839346587657928,0.5020002722740173,0.6741434335708618,0.2102600038051605,153.0641228013889,152.71823866544412
41,0.4713808298110962,0.3792880475521087,0.2130299061536789,0.489427775144577,0.5244013071060181,0.1838486939668655,0.4974168837070465,0.6705480813980103,0.2155595421791076,156.16346676902424,152.58611383526463
42,0.4521719515323639,0.3783325552940368,0.2103673964738845,0.4624606668949127,0.5205431580543518,0.1793677061796188,0.4954435527324676,0.6643761396408081,0.1928041726350784,160.4729657189985,153.08482168942018
43,0.4326175153255462,0.3746583163738251,0.1937384009361267,0.4386956393718719,0.5173867344856262,0.1522955745458603,0.4967037737369537,0.6574464440345764,0.1612492352724075,152.14685955082527,154.41846768469478
44,0.4235011339187622,0.3744225800037384,0.1838669925928115,0.432487428188324,0.5178124904632568,0.1542460322380066,0.4937357902526855,0.6555467844009399,0.1824687123298645,149.90626849917257,154.32344318523783
45,0.4139076173305511,0.3746779561042785,0.1835150122642517,0.4295735955238342,0.5182496309280396,0.1555329412221908,0.4774034321308136,0.6562432646751404,0.1853077709674835,154.1211629309489,153.69725235690254
46,0.4149122238159179,0.3747020363807678,0.1801504492759704,0.4371145367622375,0.5179797410964966,0.1554422229528427,0.456037312746048,0.6615571975708008,0.195794016122818,154.72619872616994,154.54823390032746
47,0.4148686230182647,0.3744709193706512,0.1788260638713836,0.4479414820671081,0.5153720378875732,0.1761097311973571,0.4590184092521667,0.6619117856025696,0.2273887246847152,157.89414103329025,156.78690563966836
48,0.4104083180427551,0.3735263645648956,0.182139977812767,0.4479377269744873,0.5143306255340576,0.1787851452827453,0.4643344581127167,0.6622592806816101,0.2341801524162292,156.69061465354648,160.35573616741596
49,0.4000698328018188,0.37286576628685,0.1832586526870727,0.4410343170166015,0.515503466129303,0.2023175358772277,0.468302458524704,0.6673862338066101,0.2676844000816345,163.38100659897643,163.1421155894672
50,0.3835932910442352,0.3730377554893493,0.1844735592603683,0.431075781583786,0.5162153840065002,0.2158625423908233,0.4703488647937774,0.6712967753410339,0.2806220054626465,168.98355285639363,165.43935302748878
51,0.3676052391529083,0.3745778203010559,0.193064272403717,0.413314551115036,0.5163601040840149,0.2326726615428924,0.4713039696216583,0.6717537641525269,0.3146155178546905,168.34332744465144,167.5709583520346
52,0.3458494842052459,0.3766534924507141,0.1973991096019745,0.3986656069755554,0.521581768989563,0.2329238206148147,0.4722155630588531,0.6735714673995972,0.3125466406345367,166.56097529796025,168.6065848726353
53,0.3031072914600372,0.381834477186203,0.2063271105289459,0.3763708770275116,0.5223787426948547,0.2514844536781311,0.4716048240661621,0.673232913017273,0.344160258769989,167.64708265340414,168.0835989238301
54,0.2835203111171722,0.3820234537124634,0.2165642082691192,0.3617587983608246,0.5213112235069275,0.2586606442928314,0.4678322672843933,0.6685980558395386,0.3428132534027099,168.21893323864708,165.34022797803132
55,0.2497449368238449,0.3827985227108001,0.2281718403100967,0.3332182168960571,0.5181059241294861,0.2695870399475097,0.453575849533081,0.6598070859909058,0.3684433102607727,164.36710239247168,162.0797901689511
56,0.2353507429361343,0.3824154138565063,0.2283616214990615,0.3171554803848266,0.515926718711853,0.263571947813034,0.4520773291587829,0.6559163928031921,0.3732200562953949,159.6533799132656,159.50054994456818
57,0.2231728285551071,0.3779942691326141,0.236650139093399,0.2997051477432251,0.5133079886436462,0.2678037881851196,0.444983571767807,0.6536027789115906,0.3923128843307495,154.60254304108798,158.62986946231135
58,0.2199996709823608,0.3726969361305237,0.2438528686761856,0.2879262566566467,0.5103041529655457,0.2912735342979431,0.4234039187431335,0.6523391008377075,0.4403443038463592,154.78536818790218,158.5144990067884
59,0.1977449357509613,0.3708933293819427,0.2588074207305908,0.2518674433231354,0.5105414986610413,0.3348345160484314,0.3901032507419586,0.6534999012947083,0.4910481870174408,157.78699061945932,159.47813847137814
60,0.191434696316719,0.3701125085353851,0.2637242674827575,0.2441996484994888,0.5113499164581299,0.3793837428092956,0.3569780588150024,0.6541268825531006,0.5866841077804565,162.8873522570984,161.44707890264934
61,0.1914600580930709,0.3702239692211151,0.2613497972488403,0.2353051453828811,0.5131627917289734,0.4267594814300537,0.3078556656837463,0.6547661423683167,0.6709151864051819,169.10934124739032,163.11513758968712
62,0.1744515597820282,0.3704781532287597,0.264704167842865,0.1922250539064407,0.5133664011955261,0.3992915749549866,0.2504744231700897,0.6582686901092529,0.61463463306427,165.33857932889322,164.4348456436814
63,0.1440824270248413,0.3702405095100403,0.2740377783775329,0.1558128148317337,0.5128230452537537,0.3744664192199707,0.1944180876016616,0.6618744730949402,0.5528289675712585,164.1359777719881,164.78231997648183
64,0.1062328144907951,0.3703004717826843,0.2844152152538299,0.1258373409509658,0.5226094722747803,0.3903095722198486,0.1493744701147079,0.6720839738845825,0.5847598314285278,162.44004515943647,165.30392383133045
65,0.0611982382833957,0.3720931708812713,0.2838107943534851,0.0778271779417991,0.5218983292579651,0.3883009254932403,0.1103472933173179,0.664134681224823,0.5842495560646057,160.83727256723094,164.5083969002195
66,0.0557216927409172,0.3703081607818603,0.2794222235679626,0.0601717121899127,0.5143163800239563,0.3870584070682525,0.0807721763849258,0.6443168520927429,0.5544604063034058,164.09320189320894,162.93219669543754
67,0.0593736357986927,0.3647243082523346,0.2661667764186859,0.0591996163129806,0.5107568502426147,0.3210952281951904,0.0748752579092979,0.6468295454978943,0.4153337478637695,164.9018099990631,161.56896852006128
68,0.0421748124063015,0.3651443421840668,0.2657042741775512,0.0382566601037979,0.5110796689987183,0.3258270025253296,0.05456018820405,0.6446866393089294,0.4221289455890655,164.86883042890898,159.43881264065266
69,0.0332676693797111,0.3653711676597595,0.2654499411582947,0.0255601834505796,0.5104110240936279,0.3251680433750152,0.0739429667592048,0.6464143395423889,0.4474892318248749,153.78586847461662,157.41276341192318
70,0.0298773646354675,0.369576632976532,0.2654154002666473,0.0285913720726966,0.5142882466316223,0.3204479813575744,0.0947821289300918,0.6586897969245911,0.4539263546466827,151.22370368055937,152.9124537838795
71,0.0150534119457006,0.3714107275009155,0.2726334035396576,0.0198052190244197,0.5186979174613953,0.3215057551860809,0.0942832827568054,0.6660314202308655,0.4553517401218414,150.06842873186773,161.75810935051925
72,0.0034787752665579,0.3801133036613464,0.2482998520135879,0.0123131182044744,0.5225642323493958,0.2776233553886413,0.0882953703403472,0.6648363471031189,0.378870278596878,149.49546648361846,156.5503367695467
73,-0.0029039892833679,0.381463348865509,0.2380581945180893,0.0051985927857458,0.5245930552482605,0.2591468095779419,0.0815037041902542,0.6644115447998047,0.3414486646652221,149.41894510745715,143.36147140921935
74,-0.0698347240686416,0.383557379245758,0.2176342606544494,-0.0013441819464787,0.5332436561584473,0.1827051639556884,0.082179382443428,0.6774970293045044,0.2555975019931793,143.99866305745738,126.1916930808101
100,0.4319500923156738,0.3050093650817871,0.0897802114486694,0.465029239654541,0.3459050059318542,0.2286020815372467,0.5215832591056824,0.3438355624675751,0.4725400507450104,163.53229453936981,103.39275765175853
129,0.5082684755325317,0.3704901039600372,0.0271756220608949,0.5523319244384766,0.3928481638431549,0.2880455553531647,0.563054621219635,0.4457601010799408,0.0615783408284187,21.725696189116125,80.65918978092495
130,0.5027090311050415,0.3661397397518158,0.0074825487099587,0.5584325194358826,0.3933206498622894,0.1515993028879165,0.5746886730194092,0.4498358070850372,-0.0221566502004861,38.25470840401353,59.50074699033043
131,0.4992448389530182,0.3609659969806671,0.0294167790561914,0.5592741966247559,0.3938114941120147,0.1498251110315323,0.5739448666572571,0.4550394713878631,-0.0783934220671653,41.41757105297716,44.54377594463413
132,0.4991472959518432,0.362159788608551,0.038539920002222,0.5555715560913086,0.3933499455451965,0.176769271492958,0.5647388696670532,0.4546744525432586,-0.0728845670819282,35.15297990813541,29.85233027334654
133,0.4971496760845184,0.3619020581245422,0.0378234162926673,0.554861307144165,0.3928679227828979,0.144416943192482,0.565845251083374,0.4635069966316223,-0.0413553416728973,47.00895686870482,19.876614134535302
134,0.4970146715641022,0.3620819449424743,0.0185512658208608,0.5643446445465088,0.3949996531009674,0.1349449306726455,0.5677401423454285,0.4677123427391052,-0.1010853350162506,43.3851117274598,37.509335961321256
135,0.4963572025299072,0.3609834909439087,0.0253941100090742,0.5633800029754639,0.3949215412139892,0.1367412805557251,0.5678039193153381,0.4668092727661133,-0.0790546685457229,45.830610254842696,51.64998319914871
168,0.4300337135791778,0.3658389747142792,0.0562064014375209,0.4836061894893646,0.36944779753685,0.1364385038614273,0.4531355798244476,0.3501319885253906,0.107318177819252,25.54355928777437,74.23069415080094
181,-0.0322935506701469,0.3889142870903015,-0.2533982694149017,0.0091398321092128,0.4846188426017761,-0.3385919630527496,0.0744570568203926,0.6315144896507263,-0.0492391623556613,79.80971547114956,99.74704529022864
182,0.0271127894520759,0.388863742351532,-0.2564477622509002,0.1013034582138061,0.520818829536438,-0.0249771680682897,0.1614571362733841,0.6662561893463135,0.3394617438316345,169.6620495886783,124.53541549540707
183,0.0652716159820556,0.3914048373699188,-0.2640893161296844,0.1304647475481033,0.5340115427970886,0.0325167961418628,0.1698538959026336,0.6797338724136353,0.4375720918178558,171.6522507061258,146.09419242401668
184,0.0698961317539215,0.3915152847766876,-0.2661972641944885,0.1307457685470581,0.5383332967758179,-0.0366917885839939,0.1672974377870559,0.6787530183792114,0.3172268271446228,167.05273522564244,161.5787467582533
